«Женщина притворилась мёртвой»  В Уфе развернулся настоящий кровавый триллер:  https://gorobzor.ru/novosti/proisshestviya/19854-v-ufe-muzhchina-nabrosilsya-na-zhenschinu№%:№%:2018-12-07 11:10:01№%:№%:23967044
Власти назвали неожиданную возможную причину ДТП в Башкирии    Теперь они пытаются все исправить  http://ufacitynews.ru/news/2018/12/07/v-bashkirii-vdol-trass-mogut-zakryt-pochti-280-kafe-kak-vozmozhnuyu-prichinu-dorozhnyh-avarij/№%:№%:2018-12-07 10:50:00№%:№%:23967044
«Ведь это – основа взаимопонимания»   Лере 14, у неё есть своя тяжелая история и вполне осуществимая мечта. Ей не хватает только любящих и понимающих людей:  https://gorobzor.ru/specproekty/specproekt-shkola-priemnyh-roditeley/ischet-mamu-i-papu-valeriya-14-let-shkolapriemnyhroditeley-03-12-2018№%:№%:2018-12-07 10:30:04№%:№%:23967044
В Башкирии закрыли молочный завод   Останемся без сыра и молока  http://www.bashinform.ru/news/1247709-v-bashkirii-priostanovlena-deyatelnost-davlekanovskogo-molochnogo-kombinata/?sphrase_id=8530843№%:№%:2018-12-07 10:10:01№%:№%:23967044
Жители Зубово бьют тревогу    Они утверждают, что в реке прокладывают канализационные трубы.    Смотрите видеосюжет: http://www.allufa.ru/news/obshchestvo/zhiteli-zubovo-byut-trevogu/№%:№%:2018-12-07 09:50:00№%:№%:23967044
Радий Хабиров поставил точку в споре вокруг Тратау: священная гора будет сохранена   7 декабря закончилась длинная история неделимых шиханов, которые уже несколько лет являются предметом спора между общественниками и АО «БСК».  Подробнее: https://vk.cc/8MAXIf№%:№%:2018-12-07 09:30:05№%:№%:23967044
Неожиданный поворот в истории с изнасилованием дознавательницы в Уфе    Девушка пошла в полицию только после того, как на следующее утро вновь встретилась с одним из своих насильников.    https://www.ufa.kp.ru/online/news/3320160/№%:№%:2018-12-07 09:10:01№%:№%:23967044
Безопасно ли водить ребенка в уфимский детский сад?  «Комсомолка» на практике проверила защиту самых маленьких.  https://www.ufa.kp.ru/daily/26917/3963579/№%:№%:2018-12-07 08:50:00№%:№%:23967044
Сумма выданных жителям Башкирии ипотечных кредитов выросла в 1,6 раза  Эксперты объяснили с чем связана такая активность: https://ufa.rbc.ru/ufa/freenews/5c08f92e9a79475c350511f2?from=regional_newsfeed№%:№%:2018-12-07 08:30:00№%:№%:23967044
Радий Хабиров и БСК договорились о решении сырьевой проблемы.  Судьба Торатау решена.   https://www.kommersant.ru/doc/3821836№%:№%:2018-12-07 08:10:00№%:№%:23967044
В столицу Башкирии придет похолодание    Также температура опустится и в других городах республики    Подробный прогноз: https://news102.ru/world/v-stolitsu-bashkirii-pridet-poholodanie/№%:№%:2018-12-07 07:50:00№%:№%:23967044
Жить в городе-миллионнике, но без инфраструктуры. Жители уфимского микрорайона пожаловались на отсутствие дорог.  Когда власти выполнят обещания?  Подробности и видео:https://utv.ru/material/zhit-v-gorode-millionnike-no-bez-infrastruktury-ufimcy-pozhalovalis-na-otsutstvie-dor/№%:№%:2018-12-07 07:30:00№%:№%:23967044
Чиновник высказался по поводу бесплатных автобусов в Уфе   Многие горожане рассчитывали на то, что смогут ездить по Уфе бесплатно:  http://ufatime.ru/news/2018/12/07/novogodnego-besplatnogo-transporta-v-ufe-etoj-zimoj-ne-budet/№%:№%:2018-12-07 07:10:00№%:№%:23967044
Дизайнер Полина Андреева: «Хочу создать коллекцию, вдохновлённую Уфой»  Уфимка Полина Андреева создала коллекцию платков под названием «Купола Блаженные» в честь источника вдохновения – куполов Покровского собора в Москве. Мы поговорили с молодым дизайнером и узнал, как она начала свой творческий путь, и, конечно, расспросил об Уфе – есть ли у нас мода как часть культуры, что вдохновляет Полину в родном городе и планирует ли она увековечить «Терра Башкирия» на своих аксессуарах  https://likes.ru/ufa/reviews/1062-dizayner-polina-andreeva-hochu-sozdat-kollektsiyu-vdohnovlyonnuyu-ufoy№%:№%:2018-12-07 06:50:00№%:№%:23967044
Очень добрая история! 😌    Житель Башкирии спас лосёнка от волков. Хищники загнали малыша на тонкий лед, где он чуть не утонул.   Подробнее + видео: https://bash.news/news/85557_v_bashkirii_spasli_losyonka_ranenogo_volkami_i_upavshego_v_reku№%:№%:2018-12-07 06:30:01№%:№%:23967044
«Золотые рога засверкали на солнце». 30 лет назад башкирские археологи сделали свое самое громкое открытие - нашли сокровища сарматов.  В составе той золотой экспедиции была фотограф. Она показала редкие снимки, а также рассказала, как именно был найден тайник и как ценности чуть не были утеряны.  http://www.ufa.aif.ru/culture/events/zolotye_roga_zasverkali_na_solnce_kak_bylo_naydeno_sokrovishche_sarmatov№%:№%:2018-12-07 06:10:00№%:№%:23967044
Радий Хабиров рассказал о новорожденном малыше весом чуть больше килограмма  Он выложил фотографии из роддома:  http://i-gazeta.com/news/region102/40139.html№%:№%:2018-12-07 05:50:00№%:№%:23967044
Опубликован полный график очистки уфимских дворов от снега на следующей неделе   Когда почистят ваш двор:   http://ufacitynews.ru/news/2018/12/07/opublikovan-polnyj-grafik-ochistki-ufimskih-dvorov-ot-snega-na-sleduyushej-nedele/№%:№%:2018-12-07 05:30:00№%:№%:23967044
Главный тренер ФК "Уфа": это бывает не очень красиво, но весело    Дмитрий Кириченко рассказал о своей первой работе, впечатлении от уфимского клуба и про штрафы за мат    https://news102.ru/sport/glavnyy-trener-fk-ufa-eto-byvaet-ne-ochen-krasivo-no-veselo/№%:№%:2018-12-07 05:10:00№%:№%:23967044
В Уфе иностранец жестоко расправился со случайным свидетелем, чтобы ограбить кафе    Его добычей стали выпечка, подсолнечное масло и говяжья голова:    http://ufacitynews.ru/news/2018/12/06/v-ufe-inostranec-zhestoko-raspravilsya-so-sluchajnym-svidetelem-chtoby-ograbit-kafe/№%:№%:2018-12-06 21:10:01№%:№%:23967044
«Он самый востребованный артист на национальной эстраде»  Элвина Грея наградили медалью 🏅  http://www.bashinform.ru/news/1247847-v-ufe-elvina-greya-nagradili-medalyu-vsemirnogo-kurultaya-bashkir/№%:№%:2018-12-06 20:50:00№%:№%:23967044
Чиновница из Башкирии прокомментировала информацию о разрешении выноса памятников и оградок с кладбища 😨😨😨   Женщина утверждает, что речь шла всего лишь о мусоре, а видео-доказательства сняты совсем в другом месте, и ее подпись в документах на самом деле не ее.    Подробнее: https://vk.cc/8MosLc№%:№%:2018-12-06 20:30:02№%:№%:23967044
«Я очень боюсь опять ошибиться»  Анне 15 лет, она прошла тяжелый путь, но сохранила теплоту в душе и не теряет надежды найти любящую семью:  https://gorobzor.ru/specproekty/specproekt-shkola-priemnyh-roditeley/ischet-mamu-i-papu-anna-15-let-shkolapriemnyhroditeley-03-12-2018№%:№%:2018-12-06 20:10:00№%:№%:23967044
Сотрудники института против назначения экс-министра образования республики Гульназ Шафиковой на место ректора.  На этот раз они решились на крайние меры.  https://mkset.ru/news/society/06-12-2018/kollektiv-instituta-razvitiya-obrazovaniya-bashkirii-sdelal-petitsiyu-protiv-eks-ministra?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2018-12-06 19:50:00№%:№%:23967044
Девятилетнему мальчику из Башкирии пришлось отрезать обе руки  Мама верила до последнего, но избежать страшного не удалось.  https://www.ufa.kp.ru/online/news/3319614/№%:№%:2018-12-06 19:10:01№%:№%:23967044
Уфимский художник Камиль Бузыкаев издаст первую книгу    В книгу «Бузыкаев и все-все-все...» вошли около 200 рисунков формата А4.Она выйдет ограниченным тиражом.    http://www.allufa.ru/news/obshchestvo/ufimskiy-khudozhnik-kamil-buzykaev-izdast-pervuyu-knigu/№%:№%:2018-12-06 18:50:00№%:№%:23967044
Стало известно когда восьмикилометровый участок трассы Уфа — Аэропорт перейдёт в федеральную собственность  Сейчас дорога находится в ведении мэрии Уфы и требует ежегодно от 100 млн до 200 млн руб на содержание: https://ufa.rbc.ru/ufa/06/12/2018/5c08d8f49a79474f7a557e05?from=regional_newsfeed№%:№%:2018-12-06 18:30:03№%:№%:23967044
Назначен заместительполпреда Башкирии при президенте РФ.  Он ранее работал с врио главы Башкирии Радием Хабировым в администрации президента России.   https://www.kommersant.ru/doc/3821405№%:№%:2018-12-06 18:10:01№%:№%:23967044
В Уфе запланирована застройка нескольких кварталов  В списках значится 4 новых участка:  http://ufatime.ru/news/2018/12/06/v-ufe-zaplanirovana-zastrojka-neskolkih-kvartalov/№%:№%:2018-12-06 17:50:00№%:№%:23967044
Баскетбольный клуб «Уфимец» все-таки прокомментировал некрасивую выходку своего капитана   Виновата сама чирлидерша и ее части тела.  https://www.ufa.kp.ru/online/news/3319021/№%:№%:2018-12-06 17:30:05№%:№%:23967044
В Уфе разыскивают преступницу   Пострадали несколько человек! Предупредите родственников:  http://i-gazeta.com/news/proisshestviya/40138.html№%:№%:2018-12-06 17:10:01№%:№%:23967044
Сразу несколько участков федеральных дорог в Башкирии будут расширены  Где именно и когда - все подробности здесь:  👇🏻 http://i-gazeta.com/news/region102/40134.html№%:№%:2018-12-06 16:50:00№%:№%:23967044
В Уфе произошел конфликт между пассажиркой и водителем маршрутки    Женщина в итоге осталась без денег:    http://ufacitynews.ru/news/2018/12/06/v-ufe-proizoshel-konflikt-mezhdu-passazhirkoj-i-voditelem-marshrutki-zhenshina-v-itoge-ostalas-bez-deneg/№%:№%:2018-12-06 16:30:03№%:№%:23967044
Удивили, так удивили: составлен рейтинг главных проблем Уфы  Из банального только дороги   Подробности: https://news102.ru/world/gryaz-i-plohie-dorogi-osnovnye-problemy-zhiteley-ufy/№%:№%:2018-12-06 16:10:01№%:№%:23967044
Радий Хабиров: «Здравоохранение необходимо приблизить к людям»  Врио Главы Башкирии поручил в течение недели выработать позицию по наболевшей проблеме   Подробности по ссылке: http://www.ria-bashkiria.com/news/20836.html№%:№%:2018-12-06 15:50:00№%:№%:23967044
В Башкирии ожидается морозная погода  Синоптики предоставили очередной прогноз:  https://gorobzor.ru/novosti/obschestvo/19814-v-bashkirii-ozhidaetsya-moroznaya-pogoda№%:№%:2018-12-06 15:30:04№%:№%:23967044
В Башкирии сити-менджера посадили под домашний арест.  Против него возбудили уголовное дело.  https://www.kommersant.ru/doc/3820402№%:№%:2018-12-06 15:10:01№%:№%:23967044
Очередной продуктовый воришка попал на видео.  .  Правда, в этот раз он оказался четырехлапым.  [Видео]    https://gtrk.tv/novosti/122266-neobychnyy-vorishka-zhiteli-bashkirii-zasnyali-kota-voruyushchego-korm-magazine№%:№%:2018-12-06 14:50:00№%:№%:23967044
В Уфе пропали женщина и ее 4-летняя дочь   Они вышли из дома две недели назад и больше их никто не видел  http://www.bashinform.ru/news/1247618-v-ufe-politsiya-razyskivaet-propavshikh-bez-vesti-mat-s-docheryu/№%:№%:2018-12-06 14:30:03№%:№%:23967044
В Башкирии наблюдается рост числа заболевших опасными инфекциями - коклюшем, менингококком, пневмонией. Держится высокий процент болеющих острыми кишечными инфекциями.  С чем связан подъем заболеваемости, каковы последствия этих болезней и как уберечься от опасных инфекций - в нашем материале.  http://www.ufa.aif.ru/health/med/privivki_zakalivanie_gigiena_kak_obezopasit_sebya_ot_opasnyh_infekciy№%:№%:2018-12-06 14:10:00№%:№%:23967044
В обществе поднялась волна гнева из-за тарифов на вывоз мусора в Башкирии 👿👿👿   110 рублей на человека. Это капец! Мы собрали мнения жителей Башкирии по внедрению странного закона.   Подробнее: https://vk.cc/8Mks7a№%:№%:2018-12-06 13:50:00№%:№%:23967044
Взялся не за тот мяч? Директор алтайского клуба прокомментировал действия уфимского баскетболиста в отношении алтайской чирлидерши   Комментариев от уфимского клуба до сих пор нет:  https://proufu.ru/news/society/73218-na_pristavanie_ufimskogo_basketbolista_k_ikh_chirlidershe_otreagiroval_direktor_bk_altaybasket/№%:№%:2018-12-06 13:30:02№%:№%:23967044
🔥 Вот это скандал! 🔥    В Башкирии известный тренер оказался замешан в мошенничестве!    Подробнее + видео: https://vk.cc/8Mngb3№%:№%:2018-12-06 13:10:00№%:№%:23967044
Госдума поддержала новый законопроект    А предложили его депутаты из Башкирии:    https://gorobzor.ru/novosti/obschestvo/19786-gosduma-podderzhala-zakon-o-mobilizacii-predlozhennyy-kurultaem№%:№%:2018-12-06 12:50:00№%:№%:23967044
Тема реформирования общественного транспорта в Уфе вчера неожиданно получила продолжение.   На слушаниях по проекту бюджета Уфы предложили избавиться от маршрутных автобусов.  https://www.kommersant.ru/doc/3821228№%:№%:2018-12-06 12:30:06№%:№%:23967044
«Салават» прервал серию поражений матчем в Братиславе.  Теперь снова все хорошо? Разбираемся в ситуации в вопросах и ответах.  https://mkset.ru/article/general/06-12-2018/prorvalo-pobeda-salavata-yulaeva-nad-slovanom-v-voprosah-i-otvetah?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2018-12-06 12:10:00№%:№%:23967044
🔥 Настоящий мачо! 🔥   Баскетболист "Уфимца" во время соревнований щупал чирлидершу за пятую точку. Девушка устроила скандал.   Подробнее + видео: https://bash.news/news/85568_basketbolista_iz_ufy_obvinili_v_xarassmente№%:№%:2018-12-06 11:50:00№%:№%:23967044
В Уфе родители провели дегустацию блюд в школьной столовой    В школе №119 для родителей провели дегустацию блюд школьной столовой. Им на выбор предложили котлеты, супы (овощной, гороховый, рассольник), рыбу припущенную, плов, разнообразные гарниры и напитки.    http://www.allufa.ru/aktualno/v-ufe-roditeli-proveli-degustatsiyu-blyud-v-shkolnoy-stolovoy/№%:№%:2018-12-06 11:30:04№%:№%:23967044
В Башкирии неожиданно скончался молодой тренер по боксу  Его жена осталась с двумя маленькими детьми на руках.  https://www.ufa.kp.ru/daily/26917.4/3962874/№%:№%:2018-12-06 11:10:00№%:№%:23967044
В Башкирии освободят от транспортного налога еще одну категорию семей  Поправки в республиканский закон внес Радий Хабиров.   http://www.bashinform.ru/m/news/1247399-v-bashkirii-osvobodyat-ot-transportnogo-naloga-roditeley-detey-invalidov/№%:№%:2018-12-06 10:50:00№%:№%:23967044
Радий Хабиров потребовал защитить жителей Башкирии от бескультурного меньшинства    Сделают это мерами «административного принуждения»:    http://ufatime.ru/news/2018/12/06/radij-habirov-potreboval-zashitit-zhitelej-bashkirii-ot-beskulturnogo-menshinstva-merami-administrativnogo-prinuzhdeniya/№%:№%:2018-12-06 10:30:03№%:№%:23967044
«Они живут ради других, не жалея себя»    Радий Хабиров рассказал о необходимости помощи людям «с большими сердцами»:    http://ufacitynews.ru/news/2018/12/06/nasha-zadacha-pomoch-im-i-podderzhat-radij-habirov-o-lyudyah-s-bolshimi-serdcami/№%:№%:2018-12-06 10:10:00№%:№%:23967044
В Уфе восстановят «памятник человеческому разгильдяйству»  Мэр Уфы взялся выполнить поручение Радия Хабирова:  http://i-gazeta.com/news/region102/40103.html№%:№%:2018-12-06 09:50:00№%:№%:23967044
В России велосипедисты на дорогах получили ряд преимуществ  Соответствующий документ подписал Дмитрий Медведев   Подробности по ссылке: http://www.ria-bashkiria.com/news/20828.html№%:№%:2018-12-06 09:30:04№%:№%:23967044
В Башкирии на дне колодца обнаружен труп женщины    Тело пролежало там больше года. История ужасает:    Подробности: http://www.bashinform.ru/news/1247397-v-bashkirii-v-kolodtse-obnaruzhen-trup-zhenshchiny/№%:№%:2018-12-06 09:10:00№%:№%:23967044
«Не взорвемся, так провалимся…», - говорят жители одного из сел под Уфой  Каждый день они просыпаются в трясущихся домах как будто на вулкане. Все потому, что рядом с магистральным газопроводом, на месте, где раньше находилось болото, возводится 16-этажка:  https://proufu.ru/news/society/73170-ne_vzorvemsya_tak_provalimsya_/№%:№%:2018-12-06 08:50:00№%:№%:23967044
«Главное его желание – иметь белый лимузин и катать всех, чтобы у них была такая же радостная улыбка, как и у него самого»   Это Ришат, и ему не так давно исполнилось 9 лет, он очень жизнерадостный мальчик:  https://gorobzor.ru/specproekty/specproekt-shkola-priemnyh-roditeley/ischet-mamu-i-papu-rishat-9-let-shkolapriemnyhroditeley-03-12-2018№%:№%:2018-12-06 08:30:03№%:№%:23967044
"Салават Юлаев" съездил в Братиславу, к команде с самой слабой обороной в КХЛ    Что из этого получилось - в нашем материале + видео лучших моментов    https://news102.ru/sport/salavat-yulaev-razgromil-v-slovakii-slovan/№%:№%:2018-12-06 08:10:01№%:№%:23967044
В Башкирии ритуальному агентству разрешили снимать с могил венки и оградки  В сети появилось видео-доказательство. Местных жителей возмутило такое решение. Они считают, что это аморально.   Подробнее: https://vk.cc/8M7PHL№%:№%:2018-12-06 07:50:00№%:№%:23967044
«Полиэф» получит льготный кредит объемом 1 млрд рублей  Эта сумма будет направлена на реконструкцию:  https://ufa.rbc.ru/ufa/05/12/2018/5c07b3f69a794701039486d8?from=regional_newsfeed№%:№%:2018-12-06 07:30:00№%:№%:23967044
Дошло дело и до высокопоставленных гаишников  Первое громкое кадровое изменение в ГИБДД  https://www.ufa.kp.ru/online/news/3318559/№%:№%:2018-12-06 07:10:00№%:№%:23967044
Очень доброе видео! 😌    Первую леди Башкирии научили ощипывать гусей. А вы умеете?    Подробнее + видео: https://bash.news/news/85550_karine_xabirova_oshhipal..№%:№%:2018-12-06 06:50:00№%:№%:23967044
Радий Хабиров потребовал перестать гонять людей за больничными  «Легко ответить «нельзя», - отчитал он неправильно ответивших ему на это чиновников:  http://ufatime.ru/news/2018/12/06/legko-otvetit-nelzya-vy-podumajte-radij-habirov-potreboval-obespechit-bolee-prostoj-sposob-oformleniya-bolnichnogo/№%:№%:2018-12-06 06:30:01№%:№%:23967044
Жители одного из уфимских домов очень боятся за свою жизнь    Жить в нём небезопасно:   http://ufacitynews.ru/news/2018/12/06/dom-mozhet-vspyhnut-v-lyuboj-moment-zhiteli-ufy-boyatsya-za-svoi-zhizni/№%:№%:2018-12-06 06:10:00№%:№%:23967044
В Башкирии будет действовать новый коммунальный тариф за утилизацию мусора.  Новая строчка в квитанции появится 1 января 2019 года, узнали сумму.   https://www.kommersant.ru/doc/3820725№%:№%:2018-12-06 05:50:00№%:№%:23967044
В выходные в Уфе будет снежно    Синоптики рассказали, какую погоду ожидать уфимцам в выходные    Подробности: https://news102.ru/world/v-vyhodnye-v-ufe-budet-snezhno/№%:№%:2018-12-06 05:30:00№%:№%:23967044
Альтернатива автобусам в Уфе   При каких условиях перспективный проект может стать популярным:    http://i-gazeta.com/news/region102/40125.html№%:№%:2018-12-06 05:10:00№%:№%:23967044
В Башкирии автобус «Башавтотранса» превратили в... общественный туалет! 🙈😳  На предприятии подобную историю объяснили очень оригинально:  https://proufu.ru/news/society/73191-bashavtotrans_obyasnil_video_s_avtobusom_kotoryy_ispolzuyut_v_kachestve_tualeta_v_bashkirii/№%:№%:2018-12-05 21:30:01№%:№%:23967044
Очередное смертельное ДТП в Уфе    Фото с места происшествия и первые подробности:    https://gorobzor.ru/novosti/proisshestviya/19718-v-ufe-voditel-subaru-nasmert-sbil-neizvestnogo-muzhchinu№%:№%:2018-12-05 21:10:01№%:№%:23967044
Ульфат Мустафин встретился с Муртазой Рахимовым   Глава города рассказал о глобальных задачах. Муртазу Губайдулловича заинтересовала реконструкция Бельского моста.    Смотрите видеосюжет: http://www.allufa.ru/news/obshchestvo/ulfat-mustafin-vstretilsya-s-murtazoy-rakhimovym/№%:№%:2018-12-05 20:50:00№%:№%:23967044
Под низким градусом. Главный «морж» Уфы об особенностях зимнего закаливания   Около 300 человек в столице Башкирии еженедельно совершают заплывы на Солдатском озере в парке имени Ивана Якутова. Кто они, любители экстремальных ощущений, и ради чего, преодолевая себя, заходят в ледяную воду.  http://www.ufa.aif.ru/sport/persona/pod_nizkim_gradusom_glavnyy_morzh_ufy_ob_osobennostyah_zimnego_zakalivaniya№%:№%:2018-12-05 20:30:04№%:№%:23967044
Ого! Футбольный клуб "Уфа" получит выплату от FIFA.  За что федерация футбола даст деньги башкирскому клубу?   https://utv.ru/material/futbolnyj-klub-ufa-poluchit-vyplatu-ot-fifa/№%:№%:2018-12-05 20:10:00№%:№%:23967044
В Башкирии появится электробус.   Правда пока только в одном городе   http://www.bashinform.ru/news/1247293-v-bashkirii-v-ekspluatatsionnyy-pokaz-vvedut-novyy-elektrobus/№%:№%:2018-12-05 19:50:00№%:№%:23967044
«Мир нужно спасать от злодеев, от всех тех, кто причиняет зло»  Знакомьтесь, это Стёпа, ему всего 7 лет, он очень нуждается в любящих людях:  https://gorobzor.ru/specproekty/specproekt-shkola-priemnyh-roditeley/ischet-mamu-i-papu-stepa-7-let-shkolapriemnyhroditeley-03-12-2018№%:№%:2018-12-05 19:30:04№%:№%:23967044
В Башкирии женщина за рулем кроссовера устроила массовое ДТП  Один человек погиб. Двое в больнице  http://www.bashinform.ru/news/1246920-opasnyy-obgon-v-bashkirii-v-massovom-dtp-odin-chelovek-pogib-dvoe-dostavleny-v-bolnitsu/№%:№%:2018-12-05 19:10:01№%:№%:23967044
Жизнь жителей целого микрорайона в центре Уфы превратилась в сущий кошмар😨    Все из-за кафе, которого на бумагах даже не существует:    http://i-gazeta.com/news/dokole/40110.html№%:№%:2018-12-05 18:50:00№%:№%:23967044
В Уфе основательно взялись за должников    Их выселяют из квартиры за долги по коммуналке:   http://ufacitynews.ru/news/2018/12/05/ufimcev-vyselili-iz-kvartiry-za-kommunalnye-dolgi/№%:№%:2018-12-05 18:30:03№%:№%:23967044
Муртаза Рахимов пожелал удачи Ульфату Мустафину на должности мэра  В дружеской атмосфере градоначальник и первый президент Башкирии обсудили сотрудничество и строительство нового моста.  Подробнее: https://vk.cc/8MakNa№%:№%:2018-12-05 18:10:01№%:№%:23967044
Радий Хабиров напомнил о том, какие люди должны становиться героями в глазах жителей Башкирии    И кем он действительно восхищается:    http://ufatime.ru/news/2018/12/05/radij-habirov-napomnil-o-tom-kakie-lyudi-dolzhny-stanovitsya-geroyami-v-glazah-zhitelej-bashkirii/№%:№%:2018-12-05 17:50:00№%:№%:23967044
«Когда муж получил результаты моих анализов на руки, его всего трясло»  Молодая мама двоих маленьких детей заметила в душе на ноге огромный синяк, а затем врачи огорошили ее страшнейшим диагнозом.  https://www.ufa.kp.ru/daily/26917.4/3963019/№%:№%:2018-12-05 17:30:06№%:№%:23967044
Известно состояние артистов хора, которые вчера пострадали в ЧП в Башгосфилармонии.  На них вчера обрушилась на сцене балка.  https://www.kommersant.ru/doc/3820642№%:№%:2018-12-05 17:10:01№%:№%:23967044
В Уфе за день зафиксировано два случая падения наледи  Есть пострадавшие    Подробности по ссылке: http://www.ria-bashkiria.com/news/20819.html№%:№%:2018-12-05 16:50:00№%:№%:23967044
Ульфату Мустафину подобрали новых заместителей.  Он намекнул, что ротации продолжатся, и призвал этому «не удивляться».  https://www.kommersant.ru/doc/3820474№%:№%:2018-12-05 16:30:04№%:№%:23967044
Не дороже миллиона: самые доступные квартиры в Уфе    Стать собственником жилья можно даже имея всего 404 тысячи рублей    https://news102.ru/world/ne-dorozhe-milliona-samye-dostupnye-kvartiry-v-ufe/№%:№%:2018-12-05 16:10:01№%:№%:23967044
Миллиардер из Уфы будет вести тренинги в казанском IT-парке.  Человек с необычной фамилией и еще более необычной профессией будет учить соседей маркетингу и продажам.  https://mkset.ru/news/society/04-12-2018/milliarder-iz-ufy-budet-vesti-treningi-v-kazanskom-it-parke?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2018-12-05 15:50:00№%:№%:23967044
Прогноз погоды для жителей Башкирии  Синоптики рассказали, чего стоит ждать на этот раз:  https://gorobzor.ru/novosti/obschestvo/19755-v-bashkirii-prognoziruyut-sneg-i-gololed№%:№%:2018-12-05 15:30:04№%:№%:23967044
⚠ Страшное ЧП в филармонии в Уфе! ⚠  Все произошло во время репетиции.  Подробнее: https://bash.news/news/85471_v_ufe_na_sotrudnikov_filarmonii_upalo_kreplenie_zanavesa№%:№%:2018-12-05 15:10:01№%:№%:23967044
Международный аэропорт «Уфа» им. Мустая Карима. Можно ли отменить результаты голосования?  Руководитель Общественной палаты Башкирии Ольга Панчихина прокомментировала переименование аэропорта:  https://proufu.ru/news/society/73186-mezhdunarodnyy_aeroport_ufa_im_mustaya_karima_mozhno_li_otmenit_rezultaty_golosovaniya/№%:№%:2018-12-05 14:50:00№%:№%:23967044
Уфимка выпустила свою первую книгу и выбрала для дебюта детскую аудиторию  Задача – научить чему-то хорошему и доброму.    http://www.allufa.ru/news/obshchestvo/ufimka-pishet-skazki-/№%:№%:2018-12-05 14:30:02№%:№%:23967044
"Все происходило так быстро, даже опомнится не успела!" 😨   Жительница Башкирии спасла ребенка из ледяной воды. Наша героиня говорит: родителей мальчика не знает, да и это не важно.   Подробнее: https://bash.news/news/85490_zhitelnicza_bashkirii_vytashhila_iz_ledyanoj_vody_tonushhego_v_reke_rebenka№%:№%:2018-12-05 14:10:00№%:№%:23967044
В Башкирии произведено 145 тысяч тонн сахара — это вдвое больше внутренней потребности республики  Излишки поставляются в другие регионы и на экспорт: https://ufa.rbc.ru/ufa/05/12/2018/5c07767b9a794770b670e2db?from=regional_newsfeed№%:№%:2018-12-05 13:50:00№%:№%:23967044
Куда идти, если больше некуда идти?  Список адресов кризисных центров для женщин, оказавщихся в трудной жизненной ситуации (бъет и угрожает убить муж, из-за беременности выгнали родители из дома и тп) и для детей.   Здесь вам помогут!   https://likes.ru/ufa/reviews/1058-kuda-idti-esli-bolshe-nekuda-idti№%:№%:2018-12-05 13:30:02№%:№%:23967044
В Башкирии сотрудник полиции предложил помочь избежать уголовной ответственности.  Стоимость своей «помощи» оценил в 122 тысячи рублей. В суде он признал свою вину и частично возместил материальный ущерб в размере 23 тысяч рублей.  https://mkset.ru/news/society/05-12-2018/v-bashkirii-byvshego-politseyskogo-osudili-za-moshennichestvo№%:№%:2018-12-05 13:10:01№%:№%:23967044
Жительница Башкирии спасла тонущего в ледяной воде ребенка  Рита Амантаева сама растит троих детей и недавно перенесла операцию    подробности: http://www.bashinform.ru/news/1246995-zhitelnitsa-bashkirii-spasla-tonushchego-rebenka/№%:№%:2018-12-05 12:50:00№%:№%:23967044
Уроженка Башкирии вошла в список самых влиятельных женщин мира    Она единственная представительница России:    https://gorobzor.ru/novosti/ekonomika/19735-urozhenka-bashkirii-voshla-v-spisok-samyh-vliyatelnyh-zhenschin-mira№%:№%:2018-12-05 12:30:04№%:№%:23967044
"Согласны ли вы с Камю?"  Стало известно, какие темы итогового сочинения достались школьникам Башкирии  http://www.ufa.aif.ru/edu/school/v_bashkirii_ozvucheny_temy_sochineniy_kotorye_dostalis_uchenikam_regiona№%:№%:2018-12-05 12:10:01№%:№%:23967044
Пассажиры поездов, проезжая Чишмы, обращают внимание на непонятный памятник у железной дороги: что это?   История, засекреченная на 75 лет, от которой до сих пор мурашки по коже:  http://i-gazeta.com/news/region102/40122.html№%:№%:2018-12-05 11:50:00№%:№%:23967044
На дорогах Башкирии – массовые проверки   Как и обещали, от нарушителей не отстанут   http://ufacitynews.ru/news/2018/12/05/na-dorogah-bashkirii-massovye-proverki/№%:№%:2018-12-05 11:30:03№%:№%:23967044
Её искали месяц, а нашли в собственном сарае 😒  Дикая история: в Башкирии в убийстве матери обвиняют... родного сына! История неоднозначная, судите сами.   Подробнее + фото: https://vk.cc/8M6SfG№%:№%:2018-12-05 11:10:01№%:№%:23967044
Дом без окон и дверей: семья инвалидов в центре Уфы 4 года пытается добиться положенного по закону жилья    Семья Макуловых осталась буквально без крыши над головой. На фото именно тот дом, о котором идет речь.   Подробнее: https://vk.cc/8M4hQ6№%:№%:2018-12-05 10:50:00№%:№%:23967044
